site_width,site_height,room_cnt,injury_cnt,robot_type,robot_cnt,room_visited,injury_rescued,total_action_cnt,robot_0_visits,robot_0_rescues,robot_0_collides,robot_1_visits,robot_1_rescues,robot_1_collides,robot_2_visits,robot_2_rescues,robot_2_collides,robot_3_visits,robot_3_rescues,robot_3_collides,robot_4_visits,robot_4_rescues,robot_4_collides,robot_5_visits,robot_5_rescues,robot_5_collides,robot_6_visits,robot_6_rescues,robot_6_collides,robot_7_visits,robot_7_rescues,robot_7_collides
120,60,120,10,RobotUsingGas,8,102,9,10000,17,1,0,5,0,1,16,2,2,3,0,0,5,1,4,22,3,6,2,0,0,32,2,5
120,60,120,10,RobotUsingGas,8,114,10,10000,17,2,2,15,0,4,9,0,7,15,1,1,24,3,1,17,2,5,4,0,7,13,2,13
120,60,120,10,RobotUsingGas,8,110,10,10000,19,0,0,22,1,0,2,1,0,1,0,4,29,4,3,10,2,0,9,1,0,18,1,4
120,60,120,10,RobotUsingGas,8,107,10,10000,26,2,0,3,1,0,20,2,0,9,2,0,18,1,0,19,1,1,5,0,0,7,1,0
120,60,120,10,RobotUsingGas,8,99,6,10000,2,0,4595,16,0,2,2,0,1,5,0,0,32,3,1,8,1,4596,24,0,2,10,2,5
120,60,120,10,RobotUsingGas,8,111,10,10000,27,4,0,24,2,3560,3,0,4192,0,0,7,9,1,4,10,0,3567,4,0,4187,34,3,0
120,60,120,10,RobotUsingGas,8,113,10,10000,36,5,0,24,1,1,15,0,1,3,0,9,6,0,10,7,0,2,4,0,6,18,4,0
120,60,120,10,RobotUsingGas,8,94,7,10000,13,2,1566,6,0,1,5,0,3915,5,1,1,30,0,1,7,1,2,4,1,3915,24,2,1569
120,60,120,10,RobotUsingGas,8,108,9,10000,2,0,10,2,0,37,6,1,284,16,0,38,46,5,32,5,0,21,29,2,3235,2,1,3236
120,60,120,10,RobotUsingGas,8,114,10,10000,9,0,0,32,5,2,22,1,0,4,1,4,2,0,0,10,0,5,8,1,2,27,2,0
120,60,120,10,RobotUsingGas,8,88,8,10000,15,2,0,2,0,0,21,3,10,3,0,7,19,2,10,8,1,0,10,0,0,10,0,8
120,60,120,10,RobotUsingGas,8,113,10,10000,0,0,9,26,2,14,26,1,0,25,4,1,6,1,0,12,1,0,13,1,8,5,0,1
120,60,120,10,RobotUsingGas,8,90,7,10000,4,1,0,5,0,2,5,0,3,12,0,12,11,0,12,15,2,0,14,1,3,24,3,0
120,60,120,10,RobotUsingGas,8,98,8,10000,7,0,3437,4,1,0,5,1,5,34,2,3019,6,0,3440,7,1,4,30,3,0,5,0,3014
120,60,120,10,RobotUsingGas,8,87,7,10000,5,0,4598,13,4,0,4,0,0,19,1,0,7,0,4598,16,1,1,16,1,3,7,0,2
120,60,120,10,RobotUsingGas,8,107,10,10000,27,2,0,3,0,2,13,2,0,4,0,6,28,5,0,23,1,0,2,0,5,7,0,2
120,60,120,10,RobotUsingGas,8,119,10,10000,11,2,4,46,3,10,21,3,0,7,1,3,5,0,8,28,1,7,0,0,14,1,0,22
120,60,120,10,RobotUsingGas,8,92,7,10000,2,0,1,24,3,15,5,0,3,29,1,13,2,0,0,11,3,4,3,0,1,16,0,1
120,60,120,10,RobotUsingGas,8,107,8,10000,37,1,4,4,2,3,3,0,0,5,1,4066,11,1,6,29,3,2,1,0,4065,17,0,0
120,60,120,10,RobotUsingGas,8,103,9,10000,23,0,3,16,2,0,3,0,31,15,1,0,5,2,0,21,3,1,5,0,30,15,1,10
120,60,120,10,RobotUsingGas,8,96,7,10000,15,3,14,7,0,16,11,1,1,4,0,0,13,1,2,5,1,11,17,0,3,24,1,4
